"Experimental_Loop_PLUS_Pause","LIMITE_MINIMO_MS","PERSISTENT","TEMPORARY","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","closed","color_backend","compensation","condition","coordinates","correct","correct_Trial_sequence_Task_mouse_response","correct_Trial_sequence_training_mouse_response","correct_response","count_Block_sequence","count_Block_sequence_1","count_End_of_Task","count_End_of_Training","count_Instructions","count_Instructions_Task_Condition","count_Instructions_Training_Condition","count_Pause_1","count_Task_Loop","count_Task_Loop_with_Pause","count_Task_PLUS_Pause_Sequence","count_Training_Loop","count_Trial_Loop_Task_Phase","count_Trial_Loop_Training_Condition_Phase","count_Trial_sequence_Task","count_Trial_sequence_Task_logger","count_Trial_sequence_Task_mouse_response","count_Trial_sequence_Task_sketchpad","count_Trial_sequence_Training","count_Trial_sequence_training_logger","count_Trial_sequence_training_mouse_response","count_Trial_sequence_training_sketchpad","count_artefact_filter_Task_inline_javascript","count_artefact_filter_training_inline_javascript","count_jitter_task_js","count_jitter_training_js","count_mask_task_sketchpad","count_mask_training_sketchpad","count_new_inline_javascript","count_osweb","count_task","credentialless","crossOriginIsolated","cursor_roi","cursor_x","cursor_y","datetime","description","devicePixelRatio","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","innerHeight","innerWidth","isSecureContext","is_artifact","jatos_uuid","jitter","keyboard_backend","length","mouse_backend","name","number","opensesame_codename","opensesame_version","origin","originAgentCluster","outerHeight","outerWidth","pageXOffset","pageYOffset","penwidth","practice","repeat_cycle","response","response_Trial_sequence_Task_mouse_response","response_Trial_sequence_training_mouse_response","response_time","response_time_Trial_sequence_Task_mouse_response","response_time_Trial_sequence_training_mouse_response","round_decimals","sampler_backend","screenLeft","screenTop","screenX","screenY","scrollX","scrollY","sessionid","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","status","subject_nr","subject_parity","time_Instructions_Task_Condition","time_Instructions_Training_Condition","time_Pause_1","time_Task_Loop","time_Task_Loop_with_Pause","time_Training_Loop","time_Trial_Loop_Task_Phase","time_Trial_Loop_Training_Condition_Phase","time_Trial_sequence_Task_logger","time_Trial_sequence_Task_mouse_response","time_Trial_sequence_Task_sketchpad","time_Trial_sequence_training_logger","time_Trial_sequence_training_mouse_response","time_Trial_sequence_training_sketchpad","time_artefact_filter_Task_inline_javascript","time_artefact_filter_training_inline_javascript","time_jitter_task_js","time_jitter_training_js","time_mask_task_sketchpad","time_mask_training_sketchpad","time_new_inline_javascript","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"","100","1","0","89","89","217","217","white","no","osweb","osweb","False","osweb","0","go","uniform","0","1","0","left_button","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107","107","107","107","17","17","17","17","107","17","107","17","107","17","0","0","0","False","False","undefined","88.29368157369377","226.5646020624849","Mon Jun 01 2026 07:47:34 GMT-0300 (Horário Padrão de Brasília)","The main experiment item","1","False","G:\Meu Drive\OpenSesame\Meus Testes","False","mono","False","20","no","black","no","no","1200","768","1366","True","1","0e898882-95ec-c5fa-7243-984eb4ce1ec7","959","osweb","0","osweb","","6","osweb","2.2.9","null","False","752","1350","0","0","1","no","0","1","1","None","95","95","1154","2","osweb","8","8","8","8","0","0","1780310923872","1024","2","48000","-16","task","","5","odd","91134","2924","61123","61123","49","49","91134","2925","270872","270771","270504","35522","34368","34101","270871","35522","269536","32731","269536","32731","48","Go No-Go Task (SART)","112","27341","126","yes","1920"
"","100","1","0","88","88","224","224","white","no","osweb","osweb","False","osweb","0","nogo","uniform","1","0","0","timeout","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108","108","108","108","17","17","17","17","108","17","108","17","108","17","0","0","0","False","False","undefined","88.29368157369377","226.5646020624849","Mon Jun 01 2026 07:47:34 GMT-0300 (Horário Padrão de Brasília)","The main experiment item","1","False","G:\Meu Drive\OpenSesame\Meus Testes","False","mono","False","20","no","black","no","no","1200","768","1366","True","0","0e898882-95ec-c5fa-7243-984eb4ce1ec7","1326","osweb","0","osweb","","3","osweb","2.2.9","null","False","752","1350","0","0","1","no","0","None","None","None","1154","1154","1154","2","osweb","8","8","8","8","0","0","1780310923872","1024","2","48000","-16","task","","5","odd","91134","2924","61123","61123","49","49","91134","2925","273614","272460","272209","35522","34368","34101","273614","35522","270874","32731","270874","32731","48","Go No-Go Task (SART)","112","28495","127","yes","1920"
"","100","1","0","88","88","223","223","white","no","osweb","osweb","False","osweb","0","go","uniform","0","1","0","left_button","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","109","109","109","17","17","17","17","109","17","109","17","109","17","0","0","0","False","False","undefined","88.29368157369377","226.5646020624849","Mon Jun 01 2026 07:47:34 GMT-0300 (Horário Padrão de Brasília)","The main experiment item","1","False","G:\Meu Drive\OpenSesame\Meus Testes","False","mono","False","20","no","black","no","no","1200","768","1366","True","1","0e898882-95ec-c5fa-7243-984eb4ce1ec7","1102","osweb","0","osweb","","9","osweb","2.2.9","null","False","752","1350","0","0","1","no","0","1","1","None","80","80","1154","2","osweb","8","8","8","8","0","0","1780310923872","1024","2","48000","-16","task","","5","odd","91134","2924","61123","61123","49","49","91134","2925","275086","275002","274735","35522","34368","34101","275086","35522","273616","32731","273617","32731","48","Go No-Go Task (SART)","113","28575","128","yes","1920"
"","100","1","0","88","88","224","224","white","no","osweb","osweb","False","osweb","0","go","uniform","1","1","0","left_button","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110","110","110","110","17","17","17","17","110","17","110","17","110","17","0","0","0","False","False","undefined","88.29368157369377","226.5646020624849","Mon Jun 01 2026 07:47:34 GMT-0300 (Horário Padrão de Brasília)","The main experiment item","1","False","G:\Meu Drive\OpenSesame\Meus Testes","False","mono","False","20","no","black","no","no","1200","768","1366","True","0","0e898882-95ec-c5fa-7243-984eb4ce1ec7","1048","osweb","0","osweb","","4","osweb","2.2.9","null","False","752","1350","0","0","1","no","0","1","1","None","353","353","1154","2","osweb","8","8","8","8","0","0","1780310923872","1024","2","48000","-16","task","","5","odd","91134","2924","61123","61123","49","49","91134","2925","276775","276407","276140","35522","34368","34101","276775","35522","275088","32731","275088","32731","48","Go No-Go Task (SART)","114","28928","129","yes","1920"
"","100","1","0","88","88","223","223","white","no","osweb","osweb","False","osweb","0","go","uniform","0","1","0","left_button","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111","111","111","111","17","17","17","17","111","17","111","17","111","17","0","0","0","False","False","undefined","88.29368157369377","226.5646020624849","Mon Jun 01 2026 07:47:34 GMT-0300 (Horário Padrão de Brasília)","The main experiment item","1","False","G:\Meu Drive\OpenSesame\Meus Testes","False","mono","False","20","no","black","no","no","1200","768","1366","True","1","0e898882-95ec-c5fa-7243-984eb4ce1ec7","1091","osweb","0","osweb","","8","osweb","2.2.9","null","False","752","1350","0","0","1","no","0","1","1","None","56","56","1154","2","osweb","8","8","8","8","0","0","1780310923872","1024","2","48000","-16","task","","5","odd","91134","2924","61123","61123","49","49","91134","2925","278197","278130","277879","35522","34368","34101","278197","35522","276777","32731","276778","32731","48","Go No-Go Task (SART)","115","28984","130","yes","1920"
"","100","1","0","89","89","222","222","white","no","osweb","osweb","False","osweb","0","go","uniform","0","1","0","left_button","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112","112","112","112","17","17","17","17","112","17","112","17","112","17","0","0","0","False","False","undefined","88.29368157369377","226.5646020624849","Mon Jun 01 2026 07:47:34 GMT-0300 (Horário Padrão de Brasília)","The main experiment item","1","False","G:\Meu Drive\OpenSesame\Meus Testes","False","mono","False","20","no","black","no","no","1200","768","1366","True","1","0e898882-95ec-c5fa-7243-984eb4ce1ec7","1467","osweb","0","osweb","","1","osweb","2.2.9","null","False","752","1350","0","0","1","no","0","1","1","None","72","72","1154","2","osweb","8","8","8","8","0","0","1780310923872","1024","2","48000","-16","task","","5","odd","91134","2924","61123","61123","49","49","91134","2925","280020","279936","279669","35522","34368","34101","280020","35522","278199","32731","278199","32731","48","Go No-Go Task (SART)","116","29056","131","yes","1920"
"","100","1","0","89","89","221","221","white","no","osweb","osweb","False","osweb","0","go","uniform","0","1","0","left_button","0","0","0","0","0","0","0","0","0","0","0","0","0","0","113","113","113","113","17","17","17","17","113","17","113","17","113","17","0","0","0","False","False","undefined","88.29368157369377","226.5646020624849","Mon Jun 01 2026 07:47:34 GMT-0300 (Horário Padrão de Brasília)","The main experiment item","1","False","G:\Meu Drive\OpenSesame\Meus Testes","False","mono","False","20","no","black","no","no","1200","768","1366","True","1","0e898882-95ec-c5fa-7243-984eb4ce1ec7","856","osweb","0","osweb","","1","osweb","2.2.9","null","False","752","1350","0","0","1","no","0","1","1","None","72","72","1154","2","osweb","8","8","8","8","0","0","1780310923872","1024","2","48000","-16","task","","5","odd","91134","2924","61123","61123","49","49","91134","2925","281224","281140","280889","35522","34368","34101","281224","35522","280022","32731","280022","32731","48","Go No-Go Task (SART)","117","29128","132","yes","1920"
"","100","1","0","89","89","220","220","white","no","osweb","osweb","False","osweb","0","go","uniform","0","1","0","left_button","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","114","114","114","17","17","17","17","114","17","114","17","114","17","0","0","0","False","False","undefined","88.29368157369377","226.5646020624849","Mon Jun 01 2026 07:47:34 GMT-0300 (Horário Padrão de Brasília)","The main experiment item","1","False","G:\Meu Drive\OpenSesame\Meus Testes","False","mono","False","20","no","black","no","no","1200","768","1366","True","1","0e898882-95ec-c5fa-7243-984eb4ce1ec7","846","osweb","0","osweb","","5","osweb","2.2.9","null","False","752","1350","0","0","1","no","0","1","1","None","76","76","1154","2","osweb","8","8","8","8","0","0","1780310923872","1024","2","48000","-16","task","","5","odd","91134","2924","61123","61123","49","49","91134","2925","282411","282328","282077","35522","34368","34101","282411","35522","281226","32731","281226","32731","48","Go No-Go Task (SART)","118","29204","133","yes","1920"
"","100","1","0","89","89","218","218","white","no","osweb","osweb","False","osweb","0","go","uniform","0","1","0","left_button","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115","115","115","115","17","17","17","17","115","17","115","17","115","17","0","0","0","False","False","undefined","88.29368157369377","226.5646020624849","Mon Jun 01 2026 07:47:34 GMT-0300 (Horário Padrão de Brasília)","The main experiment item","1","False","G:\Meu Drive\OpenSesame\Meus Testes","False","mono","False","20","no","black","no","no","1200","768","1366","True","1","0e898882-95ec-c5fa-7243-984eb4ce1ec7","1006","osweb","0","osweb","","7","osweb","2.2.9","null","False","752","1350","0","0","1","no","0","1","1","None","61","61","1154","2","osweb","8","8","8","8","0","0","1780310923872","1024","2","48000","-16","task","","5","odd","91134","2924","61123","61123","49","49","91134","2925","283766","283699","283432","35522","34368","34101","283766","35522","282413","32731","282414","32731","48","Go No-Go Task (SART)","119","29265","134","yes","1920"
"","100","1","0","89","89","217","217","white","no","osweb","osweb","False","osweb","0","go","uniform","0","1","0","left_button","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116","116","116","116","17","17","17","17","116","17","116","17","116","17","0","0","0","False","False","undefined","88.29368157369377","226.5646020624849","Mon Jun 01 2026 07:47:34 GMT-0300 (Horário Padrão de Brasília)","The main experiment item","1","False","G:\Meu Drive\OpenSesame\Meus Testes","False","mono","False","20","no","black","no","no","1200","768","1366","True","1","0e898882-95ec-c5fa-7243-984eb4ce1ec7","1200","osweb","0","osweb","","9","osweb","2.2.9","null","False","752","1350","0","0","1","no","0","1","1","None","63","63","1154","2","osweb","8","8","8","8","0","0","1780310923872","1024","2","48000","-16","task","","5","odd","91134","2924","61123","61123","49","49","91134","2925","285288","285221","284970","35522","34368","34101","285288","35522","283768","32731","283768","32731","48","Go No-Go Task (SART)","120","29328","135","yes","1920"
